entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
usaniru,rusanìrù,-u-sa=ni*ru*,JLC,vA:caus,A,NO,1878,To move forward and ahead.,Avanzar e ir a la cabeza.,actions,,,r.u-sa=ni*ru*,,,,,,,,1,1,Rusanìrù Fán Fàna.,Adelanta Juan a Juana (y Juana llega primero).,,
usaa,rusaa,-u-saa,EJG;JLC;RLC;VP,vA:caus,A,NO,1879,"To bring together, to complete, to conclude, to achieve (in the case of a work task).","Juntar, acompletar, completar, cumplir (en el caso de una tarea laboral).",actions,,,r.u-saa,"g.u-sa!a () [,",bi-saa,,,,,,3,6,Cádi cusáaca.,No lo completan.,Cádi' cusáaca bidxiichi' xtì'ca' binnì.,No completan el dinero de la gente (i.e. el dinero que le deben a la gente).
usaabeewu,rusaa beeù',-u-saa # beewu*,EJG,vA:caus,A,NO,1880,For a cycle of a month to elapse.,Cumplir el mes.,time,,,r.u-saa # beewu*,,,,,,,,1,2,(Ya)nadxi bisaabe beeù.,Hoy cumplió él el mes.,(Yann)adxi bisaà' beeù.,Hoy cumplo el mes.
usaaiza,rusaa iza,-u-saa # iza,EJG,vA:caus,A,NO,1881,For a cycle of a year to elapse.,Cumplir el año.,time,,,ru-saa # iza,,,,,,,,1,1,Neegue' bisaa Tranquilìnu iza.,Ayer cumplió años Tranquilino.,,
usaaxtiidxa,rusaa xtiidxa',-u-saa # x.tiidxa,JLC;RLC,vA:caus,A,NO,1882,To make good on one's word.,Cumplir su palabra.,actions,,,r.u-saa x.tiidxa,,,,,,,,1,1,Rusaa Fán xtiidxa' nè Pèdru.,Juan cumple su palabra ante Pedro.,,
usaka,rusaca,-u-saka,EJG;RLC,vA:caus,A,NO,1883,"To value, to appreciate, to recognize the value of (lit. to cause to value).","Valorar, valorizar, apreciar, reconocer el valor de algo o alguien (lit. hacer valer).",actions,,,r.u-saka,g.u-sa!ka,bi-saka,k.u-sa!ka,,,,,4,4,Bisacabe lii maní'.,Te está tratando como a un animal.,Rusaca(be laa).,Se le confunde con otra persona.
usakawati,rusacahuatì,-u-saka=wati*,RLC,vA:caus,A,NO,1884,"To stun, to stupefy.","Atontar, aturdir.",actions,,,r.u-saka=wati*,,,,,,,,1,1,Rusacahuatìbe laa tàntu rusugueèndà'be laa.,Lo atonta de tanto que lo manda.,,
useendaganna,ruseenda' gànnà,-u-seenda # g.a*nna*,EJG;RLC,vA:caus,A,NO,1885,"To send an envoy, ex. to request a loan, to make an inquiry, to hire someone or a service, to ask the hand of a woman in marriage.","Mandar una diligencia, ej. para pedir prestado, para hacer una averiguación, para contratar, para pedir la mano de la novia.",actions,,,r.u-seenda # g.a*nna*,(g).u-se!enda # g.a*nna*,bi-seenda # g.a*nna*,k.u-se^enda # g.a*nna*,,,,,4,1,(G)uséenda gànnàcabe laabe.,Le fueron a avisar que van a pedir a la novia.,,
usibaa,rusibaà,-u-si-baa*,RLC;VC,vA:caus,A,NO,1886,"To air dry, or to dry as a result of a drought.",Hacer que algo se seque al aire o bien a causa de una sequía.,actions,,EJG;JLC;ND,r.u-si-baa*,g.u-si!-baa*,,,,,,,2,2,"Bisubaà bendabuaa cà, ti òra cà guindisú'ni.","Orea el camarón, luego lo guardas.",Tièmpu rusibaà.,Tiempo de sequía.
usibaaza,rusibaazà',-u-si-baaza*,JLC;RLC,vA:caus,A,NO,1887,To cause to become thin or skinny.,"Hacer enflacar, adelgazarlo.",actions,,,r.u-si-baaza*,g.u-si!-baaza,bi-si-baaza*,,,,,,3,1,Rusubaazà'be ca' xiiñi'be quí rudiibe nigó ca' xiiñi'be xneza.,Hace que se pongan flacos sus hijos porque no les da bien de comer.,,
