ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
7348,"Rough, irregular, uneven. With an unkempt appearance.",rangu,RLC,,,,,,,,,,physical attributes,"Tosco, irregular, disparejo. De aspecto descuidado."
7349,Sound of an empty bite.,raw7raw7raw7,,,,,,,,,,,sound symbolism,Sonido de un mordisco vacío.
7350,Plot of agricultural land.,raxtrojo,,,,,rastrojo,,,,,,cultivation,Parcela.
7351,Striped.,rayadu,,,,,rayado,,,,,,color,"Rayado, con rayas."
7352,Hairy.,razhi-2,EJG,,,,,,,,,,physical attributes,Peludo.
7353,Prisoner.,rew,,,,,reo,,,,,,occupations,"Reo, preso."
7354,Window bars. Bottom part of a door that splits along a horizontal axis.,reja,,,,,reja,,,,,,construction,Barrotes de ventana. Parte inferior de una puerta de madera que se separa en dos partes.
7355,Small tortilla designed to hold food flat.,relle,,,,,,,,,,,food,Memelita.
7356,"Wrapped around, as in the case of a pice of cloth tied around the body as a skirt, or a woven belt tied around the waist to hold the cloth.",renda-2,JLC,,,,,,,,,,manner,"Enredado, puesto de manera que envuelve algo. Por extensión, también se refiere a un enredo o una enagua, así como a un ceñidor."
7357,With a limp.,renku,,,,,renco,,,,,,wellness,Renco.
7358,"Strong, intense, as in the case of rain, wind or sound.",resyu,,,,,recio,,,,,,manner,Recio.
7359,Prayer.,resa,RLC,,,,rezo,,,,,,spirituality,Rezo.
7360,"Herd. By extension, people who join or follow other people in their opinions.",rebyata,,,,,,,,,,,animals,"Rebiata, animales de ganado que se siguen unos tras otros. Por extensión, la gente que se une a la opinión de otra."
7361,Circle.,redondo,,,,,redondo,,,,,,shape,Círculo.
7362,"Striped or mottled, as when grains are coarsely ground, or grooved, like stratiform clouds.",redxe7,,,,,,,,,,,color,"Rayado o moteado, como cuando los granos no se muelen bien, o con forma de surco, como las nubes estratiformes."
7363,"Spread out, spilled, broadcasted, disseminated.",reeche-2,,,,,,,,,,,manner,"Esparcido, regado, diseminado, difundido."
7364,Messy due to things being strewn or spread about.,reechendase-2,,,,,,,,,,,manner,"Regado, desarreglado, desordenado."
7365,"This adjective describes something that has not developed well, such as a fruit that has not acquired good flavor or consistency. By extension, it can also refer to a malnourished child who does not leave the side of the mother.",reela-2,,,,,,,,,,,manner,"Este adjetivo describe algo que no se ha desarrollado bien, como una fruta que nunca adquirió buen sabor o consistencia. Por extensión, también se puede referir a un niño desnutrido que no deja a la madre."
7366,Expression that children scream while twirling around with their arms extended until they fall.,reenkeseboya,,,,,cebolla,,,,,,games and toys,Expresión que gritan los niños mientras juegan a dar vueltas con los brazos abiertos hasta caerse.
7367,"Of little substance and flavor as in the case of a Cucurbitaceae fruit (melon, watermelon, pumpkin, cucumber) that was cut too early or too late.",reela-3,EJG;JLC;ND;RGL;RLC,,,,,,,,,,food,"De poca sustancia o sabor como en el caso de una fruta cucurbitácea (melón, sandía, calabaza, pepino) que se ha cortado antes de tiempo o demasiado tarde."
7368,Male name Tereso.,reesu,EJG,,,,,,,,,,names,Tereso.
7369,"Long white skirt made of thin, generally white fabric, worn under large, ample skirts, especially if they are somewhat translucent.",refafu,,,,,refajo,,,,,,clothing and adornment,Refajo o fondo largo blanco que se pone debajo de una enagua.
7370,Flashlight.,refletor,,,,,reflector,,,,,,tools and implements,Lámpara de mano.
7371,"Shower, shower stall.",regadera,,,,,regadera,,,,,,location,Regadera.
7372,"Watch, clock.",relo,,,,,reloj,,,,,,time,Reloj.
7373,Medicinal remedy.,remedyu,,,,,remedio,,,,,,wellness,Remedio medicinal.
7374,Patch (i.e. repair on a piece of clothing).,remyendu,,,,,remiendo,,,,,,clothing and adornment,"Remiendo, parche."
7375,Wall plastering.,repeyu,,,,,repello,,,,,,construction,Repello.
7376,Woman who leads a group of people in prayer.,resadora,,,,,rezadora,,,,,,occupations,"Rezadora, mujer que dirige un rezo."
7377,"Glue known by its brand name, Resistol.",resistol,,,,,resistol,,,,,,substances,Resistol.
7378,Snood of a turkey.,rexe,,,,,,,,,,,substances,Moco de guajolote.
7379,Stuffing.,reyenu,,,,,relleno,,,,,,food,Relleno.
7380,Sound of a bat's wings.,rhrhrhrhrhrrum,,,,,,,,,,,sound symbolism,Sonido de las alas de un murciélago.
7381,Endearing adjective used to refer to an elderly man.,rigola,,,,,,,,,,,communication,Adjetivo de cariño para referirse a un señor mayor.
7382,"Adjective that is likely pejorative and is used to refer to a short person of unrefined appearance, and/or somewhat ridiculous looking because their clothes do not match. It is used as a demonym to refer to the residents of the Séptima sección neighborhood of Juchitán de Zaragoza.",riryaku,,,,,,,,,,,physical attributes,"Adjetivo con connotaciones probablemente despectivas, para describir a una persona de baja estatura, de apariencia tosca o un tanto ridícula, por ejemplo porque su ropa no combina. Se usa como gentilicio para referirse a los residentes de la Séptima sección de Juchitán de Zaragoza."
7383,"Tender, delicate, as in the case of a newborn baby or of fresh corn on the cob.",ri7ni,,,,,,,,,,,actions,"Tierno, como un bebé recién nacido o como un elote."
7384,Last name Ríos.,riwu,,,,,Ríos,,,,,,names,Apellido Ríos.
7385,"Proximal demonstrative that refers to someone, something or a location nearby. Equivalent to 'this'. It can be used in combination with the locative clitic in the expression rarì' as well as with the verb to go in the potential aspect in the expression chérì' to direct motion in a designated direction.",ri7-2,,,,,,,,,,,location,"Demostrativo que apunta hacia algo, alguien o una ubicación que está cerca. Equivalente a 'este', 'esta', y 'esto'. Se puede utilizar en combinación con un locativo en la expresión rarì' para indicar una ubicación, así como con una forma imperativa del verbo 'ir' en la expresión chérì' para dirigir movimiento en una dirección específica."
7386,"Demonstrative that refers to a direction, location or time in contrast with some other.",ri7ka7,,,,,,,,,,,location,"Demostrativo que apunta hacia una dirección, ubicación o referencia en el tiempo en contraste con otra."
7387,Here and there.,ri7rika7,,,,,,,,,,,position,Por aquí y por allá.
7388,With residue settled at the bottom of a container.,ri7zhya,,,,,,,,,,,states,Con residuos asentados en el fondo de un recipiente.
7389,During the day.,ridxi7-2,EJG,,,,,,,,,,time,De día.
7390,"A noise similar to that made by a flip-flop, emitted by the vagina of a woman who has recently given birth, and caused by her sweeping or having sex during the forty-day recovery period following childbirth. This condition is considered cold. To remedy it, some people burn rosemary in a bowl and the woman stands directly over it the smoke from it.",rizhidxinde,,,,,,,,,,,wellness,"Ruido similar al que produce una chancla y que emite la vagina de una mujer recién parida, y que se produce por haber barrido o haber tenido sexo durante los cuarenta días posteriores al parto. Este mal se considera frío. Para remediarlo, algunas personas queman romero en una bandeja y la mujer se pone de pie directamente encima para recibir el humo."
7391,"Hollow space, empty space.",riga-2,,,,,,,,,,,manner,"Hueco, vacío."
7392,Eye socket.,rigalu,,,,,,,,,,,body parts,Órbita o cuenca del ojo.
7393,Mask.,rigambyo7xo,EJG;JLC;RLC,,,,,,,,,,clothing and adornment,Máscara.
7394,Clay canteen to carry or store drinking water.,rii,VC,,,,,,,,,,tools and implements,Cántaro o ánfora de barro para guardar o almacenar agua.
7395,Very large type of clay pitcher.,riindo7pa,,,,,,,,,,,size,Tipo de cántaro bastante grande.
7396,Blood. Jiménez Girón (1979:171) explains that this lexeme can refer metaphorically to wine or any alcoholic beverage drunk when celebrating the virginity of a bride the morning after the wedding night.,rini-2,,,,,,,,,,,substances,"Sangre. Jiménez Girón (1979:171) explica que este lexema puede referirse de manera figurada al ""vino o cualquier licor con que se brinda por la pureza virginal de una novia al amanecer de su compartimiento conyugal""."
7397,Short.,ripi-2,,,,,,,,,,,size,Corto.
7398,"Ignorant, illiterate, uncultured, uncouth.",riri71,,,,,,,,,,,character attributes,"Ignorante, analfabeta, inculto, cimarrón."
7399,Short person. Also used to refer to residents of the Séptima Sección of the town of Juchitán de Zaragoza. Whether this adjective is pejorative was not documented.,riri72,,,,,,,,,,,character attributes,Chaparro. También se usa para referirse a quienes viven en la Séptima Sección de Juchitán de Zaragoza. No se documentó si este uso es despectivo.
7400,Person who is poor.,rizi7,,,,,,,,,,,social categories,Persona pobre.
7401,Fat.,ro7,,,,,,,,,,,physical attributes,Gordo.
7402,Big.,ro7ba,,,,,,,,,,,size,Grande.
7403,Male name Rosalino.,roosa,,,,,,,,,,,names,Rosalino.
7404,Hives.,roncha,,,,,roncha,,,,,,wellness,Roncha.
7405,"Rounds, as in the surveillance shifts by the police.",ronda1,,,,,ronda,,,,,,occupations,"Ronda, turno de vigilancia de la policía."
7406,Irrigation canal in small agricultural parcels.,ronda2,,,,,,,,,,,cultivation,Canal de riego para la milpa.
7407,Name given to Rosa and Serenano as a couple.,rosasebe,,,,,Rosa,,,,,,names,Pareja formada por Rosa y Serenano.
7408,Name given to Rosa and Anastasio as a couple.,rosatachu,,,,,Rosa,,,,,,names,Pareja formada por Rosa y Anastasio.
7409,"Rosa Terú's name, who was assassinated by her partner César López.",rosateru7,,,,,Rosa,,,,,,names,"Nombre de Rosa Terú, quien fuera pareja de César López y asesinada por él mismo."
7410,Nickname given to a man by the name of Rosalino. Huiini' means 'small'.,rosawiini,,,,,Rosa,,,,,,names,Apodo que designa a un hombre llamado Rosalino. Huiini' significa 'pequeño'.
7411,Nickname given to a man by the name of Rosalion as he stole many turkeys. Xòlla means 'turkey'.,rosazholla,,,,,Rosa,,,,,,names,Apodo que designa a un hombre llamado Rosalino por haber robado muchos guajolotes. Xòla significa 'guajolote'.
7412,Coil.,roska,,,,,rosca,,,,,,position,Rosca.
7413,Roll.,royu,,,,,rollo,,,,,,position,Rollo.
7414,Common snook (likely of the genus Centropomus).,roballu,,,,,robálo,,,,,,animals,Róbalo (probablemente del género Centropomus).
7415,Adjective that describes an outie belly button.,rolla-2,,,,,,,,,,,body parts,Adjetivo que describe un ombligo abultado.
7416,"Single, single one, odd.",ronda7-2,RGL;VC,,,,,,,,,,manner,"Non, impar, uno solo."
7417,"Bulky, fat, thick.",roo-2,,,,,,,,,,,physical attributes,"Abultado, gordo, grueso."
7418,Baby born without hair.,roolo,,,,,,,,,,,physical attributes,Niño que nace pelón.
7419,"Adjective derived from the concept of viscosity or slime, and which Jiménez Girón (1979:180) defines as dirty or repugnant in relation to the appearance of a person.",roonde,JLC;RLC,,,,,,,,,,physical attributes,"Adjetivo derivado del concepto de viscosidad, que Jiménez Girón (1979:180) define como ""sucio, repugnante"" con relación a una persona."
7420,Viscosity or slime as in the mucilage secreted by certain plants such as the prickly pear cactus.,roonde-2,EJG;JLC;ND;RLC,,,,,,,,,,substances,"Viscosidad o baba, como el mucilago de algunas plantas como el nopal."
7421,Penniless.,roote-2,,,,,,,,,,,states,Sin dinero.
7422,Rose in color.,rosadu1,,,,,rosado,,,,,,color,"Rosado, de color rosa."
7423,Last name Rosado.,rosadu2,,,,,rosado,,,,,,names,Apellido Rosado.
7424,Sound of a car.,rrun,,,,,,,,,,,sound symbolism,Sonido de un coche.
7425,Sound of a car starting.,rr3mrr3mrr3m,,,,,,,,,,,sound symbolism,Sonido de un coche arrancando.
7426,Sound of a blade scratching a wall.,rrak,,,,,,,,,,,sound symbolism,Sonido de una navaja rasgando una pared.
7427,Sound made by the rapid movement of something.,rra,,,,,,,,,,,sound symbolism,Sonido del movimiento rápido de algo.
7428,"Sound one makes when drawing lines or stripes fast, or stringing something fast. By extension, this sound can be used to describe something that is fast or to ask for something to be done quickly.",rrarra,,,,,,,,,,,sound symbolism,"Sonido que se genera al trazar líneas o rayas rápido o al ensartar algo rápido. Por extensión, este sonido se puede usar para describir algo rápido o pedir rapidez."
7429,Sound of a person hurrying.,rrahrrahrrahrrahrrah,,,,,,,,,,,sound symbolism,Sonido de una persona andando de prisa.
7430,Sound of something being forced into a space where it barely fits.,rrak-2,,,,,,,,,,,sound symbolism,Sonido de algo siendo forzado donde casi no cabe.
7431,Sound of a dog passing nearby quickly and only perceived out of the corner of one's eye.,rrah,,,,,,,,,,,sound symbolism,Sonido de un perro que pasa cerca de uno rápidamente y que solo se ve de reojo.
7432,Sound of a branch bending and straightening in the air.,rraarraa,EJG;ND,,,,,,,,,,sound symbolism,Sonido de una rama doblándose y enderezándose en el aire.
7433,Man who at the time of intercourse is the one who is penetrated by their same-sex muxé' partner.,rramon,,,,,Ramon,,,,,,social categories,Hombre que en la relación sexual es pasivo y es penetrado por la pareja muxé'.
7434,"Man who identifies as muxé', and who at the time of intercourse takes on the active role and is the one to penetrate their same-sex partner.",rramonera,,,,,Ramon,,,,,,social categories,Muxé' que en la relación sexual toma el rol activo y es quien penetra a su pareja del mismo sexo.
7435,Last name Rasgado.,rrasgadu,,,,,Razgado,,,,,,names,Apellido Rasgado.
7436,Sound of a horse chewing.,rrawrraw,,,,,,,,,,,sound symbolism,Sonido de un caballo masticando.
7437,Sound of a dog gnawing the flesh off a bone.,rraw7rraw7,EJG;RLC,,,,,,,,,,sound symbolism,Sonido de un perro royendo la carne de un hueso.
7438,Sound made when dragging somethings such as someone who is drunk.,rrerre,JLC;ND,,,,,,,,,,sound symbolism,"Sonido que se genera al arrastrar algo, como por ejemplo a una persona borracha."
7439,Sound of something tearing such as paper or fabric.,rre7rre7,,,,,,,,,,,sound symbolism,Sonido de algo que se desgarra como el papel o la tela.
7440,"Wild, restless, like some children.",rrechu,,,,,,,,,,,behavior,"Alocado, inquieto, como pueden serlo los niños y las niñas."
7441,"Knock-kneed, with crooked legs.",rreempa,,,,,,,,,,,physical attributes,"Patizambo, de piernas chuecas."
7442,"Spin, twirl. Jiménez Girón (1979) states that this lexeme is used to refer to a children's game which is precisely about spinning around to the point of dizziness and falling.",rreenke,,,,,,,,,,,games and toys,"Vuelta, sobre todo cuando se hace una tras otra hasta marearse. Jiménez Girón (1979) menciona que precisamente se usa este lexema para referirse a un ""juego infantil que consiste en giros y vueltas continuados que acaban por marear y hacer caer""."
7443,Sound of a loose drawer.,rregerrege,,,,,,,,,,,sound symbolism,Sonido de un cajón suelto.
7444,Jiménez Girón (1979) describes this lexeme as a handstand done on a river bank or on sand.,rrenkin,,,,,,,,,,,actions,"Jiménez Girón (1979) describe este lexema como ""la parada de cabeza ejecutada en las orillas del río o donde hay arena""."
7445,Sound of a house's doorbell.,rrinrrin,,,,,,,,,,,sound symbolism,Sonido del timbre de una casa.
7446,Sound of cicadas.,rrin,,,,,,,,,,,sound symbolism,Sonido de chicharras.
7447,Male name Rosalino.,rrosa,,,,,,,,,,,names,Rosalino.
7448,Sound of a container being filled up with liquid.,rrr,,,,,,,,,,,sound symbolism,Sonido de un recipiente llenándose de líquido.
7449,Sound of the motor of an idling truck.,rrrremem,,,,,,,,,,,sound symbolism,Sonido del motor de un camión parado.
7450,Sound of something being stretched.,rrrraa,,,,,,,,,,,sound symbolism,Sonido de algo siendo estirado.
7451,Sound of an electric fan.,rrrrrr,,,,,,,,,,,sound symbolism,Sonido de un ventilador.
7452,Sound of a boat.,rrrrrrrrrrrrrrrr,EJG;RLC,,,,,,,,,,sound symbolism,Sonido de una lancha.
7453,Sound of a blender.,rruturrurr,,,,,,,,,,,sound symbolism,Sonido de una licuadora.
7454,Sound of a person throwing clothes.,rrum,,,,,,,,,,,sound symbolism,Sonido de una persona tirando ropa.
7455,Sound of a person throwing something.,rrunrrun-2,,,,,,,,,,,sound symbolism,Sonido de una persona tirando algo.
7456,Sound of a person jumping.,rruumrruumpruum,,,,,,,,,,,sound symbolism,Sonido de una persona saltando.
7457,"Geezer, old.",rruku,,,,,ruco,,,,,,life stages,"Ruco, viejo."
7458,State of fruits just before they begin to ripen and take on color.,rruzaa,EJG;JLC,,,,,,,,,,states,"Sazón, como las frutas cuando apenas empiezan a tomar color y a madurarse."
7459,Sound of someone whipping a hot chocolate drink to make it froth.,rrukurruku,,,,,,,,,,,sound symbolism,Sonido de una persona batiendo el chocolate para que espume.
7460,Sound of the sky when it is about to rain.,rrumrrumrrum,,,,,,,,,,,sound symbolism,Sonido del cielo cuando está a punto de llover.
7461,"Whistle, especially a high pitch, high volume one.",rruuchi1,,,,,,,,,,,experience,"Silbido, chiflido, sobre todo si es agudo y estridente."
7462,"Cuts made to meat or fish when salted, or on certain fruits as they are prepared and flavored to be eaten.",rruuchi2,RLC,,,,,,,,,,food,"Cortes que se hacen en la carne o el pescado al salarlos, o en algunas frutas al momento de alguna preparación."
7463,Cough.,ru,,,,,,,,,,,wellness,Tos.
7464,Tough typical of children.,ruba7du,,,,,,,,,,,wellness,Tos de niños.
7465,Hacking cough.,rubi7ku,,,,,,,,,,,wellness,Tos de perro.
7466,Dry cough.,rubidxi,JLC,,,,,,,,,,wellness,Tos seca.
7467,"Cough with phlegm. This ailment is associated with heat. To alleviate it, a variety of teas are prepared and taken before going to sleep. Among these are purple bougainvillea tea with a clove of garlic, tea with half a small lemon with the peel and a clove of garlic, lemon leaf tea, and tea made with the leaves of the Bursera penicillata tree.",runeflema,,,,,flema,,,,,,wellness,"Tos con flema. Este malestar se asocia con el calor. Para aliviarlo se prepara una variedad de tés que se toman antes de dormir. Entre estos están el té de buganvilia morada con diente de ajo, el té con medio limón chiquito con cáscara y un diente de ajo, el té de hoja de limón, y el té de safrás (Bursera penicillata)."
7468,"Cough with phlegm. This ailment is associated with heat. To alleviate it, a variety of teas are prepared and taken before going to sleep. Among these are purple bougainvillea tea with a clove of garlic, tea with half a small lemon with the peel and a clove of garlic, lemon leaf tea, and tea made with the leaves of the Bursera penicillata tree.",runextallemuku,,,,,,,,,,,wellness,"Tos con flema. Este malestar se asocia con el calor. Para aliviarlo se prepara una variedad de tés que se toman antes de dormir. Entre estos están el té de buganvilia morada con diente de ajo, el té con medio limón chiquito con cáscara y un diente de ajo, el té de hoja de limón, y el té de safrás (Bursera penicillata)."
7469,Whooping cough.,ruro7,,,,,,,,,,,wellness,Tosferina.
7470,Cough associated with the illness known as dxiìbì'guidxa.,ruxti7dxiibigidxa,,,,,,,,,,,wellness,Tos asociada con la enfermedad conocida como dxiìbì'guidxa.
7471,Smoker cough.,ruxti7geza,EJG,,,,,,,,,,wellness,Tos de fumador.
7472,Crybaby.,ru7na,EJG;JLC,,,,,,,,,,character attributes,Llorón.
7473,"Truncated, with an amputated limb.",ruku-2,,,,,,,,,,,states,"Truncado, amputado de alguna extremidad (ej. manco)."
7474,Sound of a grasshopper.,ruumruum,,,,,,,,,,,sound symbolism,Sonido de un saltamontes.
7475,Log.,rungu-2,EJG;JLC;ND;RGL;RLC,,,,,,,,,,plants,Tronco.
7476,Basket designed to hold tortillas and especially to keep them warm as they are made.,ruba-2,,,,,,,,,,,tools and implements,"Tenate, tompiate, canasta para echar tortilla."
7477,"Shortened, truncated.",ruku-3,,,,,,,,,,,states,"Cortado, truncado."
7478,"Broken, truncated, split, shortened, as in the case of a stump after a tree is felled.",rungu-3,,,,,,,,,,,states,"Tronchado, mocho, acortado, como queda el tocón después de cortar un árbol."
7479,Armoire.,ruperu,,,,,ropero,,,,,,furnishings,Ropero.
7480,"Broken into pieces, crumbled, torn apart.",ruuzhe-2,,,,,,,,,,,states,"Despedazado, desmoronado, desbaratado."
7481,Peeled.,ruxi-2,,,,,,,,,,,states,"Pelado, mondado."
7482,Big-mouthed. With a prominent mouth.,rwango,,,,,,,,,,,physical attributes,Bocón. Trompudo.
7483,Mouth.,rwaa1,,,,,,,,,,,body parts,Boca.
7484,Edge.,rwaa2,,,,,,,,,,,meronym,"Orilla, borde, filo."
7485,Cleft lip.,rwaaritiiba,,,,,,,,,,,wellness,Labio leporino.
7486,"Cleft lip, or the person with it.",rwaabeche7,,,,,,,,,,,physical attributes,"Labio leporino, o la persona que lo tiene."
7487,Lacrimal caruncle.,rwaabeelalu,RGL,,,,,,,,,,body parts,Carúncula lagrimal.
7488,Cracked corners of the mouth due to dryness.,rwaachaande,RGL;RLC,,,,,,,,,,wellness,Comisura de los labios agrietados por resequedad.
7489,"Snitch, gossipy.",rwaadidi,,,,,,,,,,,character attributes,"Soplón, chismoso."
7490,"Drooly. By extension, stupid.",rwaadxe7,EJG;JLC;RGL;RLC,,,,,,,,,,character attributes,"Baboso, tonto."
7491,Concha of the ear.,rwaadyaga,,,,,,,,,,,body parts,Concha auricular.
7492,Rooster crow.,rwaagayu,,,,,gallo,,,,,,animals,Canto del gallo.
7493,Riverbank.,rwaagiigu,,,,,,,,,,,location,Borde u orilla de un río.
7494,Someone who talks with a nasal sound.,rwaakeenge,,,,,,,,,,,manner,Gangoso.
7495,Area of the eye where the lacrimal caruncle is located.,rwaalaga,,,,,,,,,,,body parts,Zona del ojo donde se encuentra la carúncula lagrimal.
7496,Upper eyelid.,rwaalagalugya7,,,,,,,,,,,body parts,Párpado superior.
7497,Lower eyelid.,rwaalagazhagete7,,,,,,,,,,,body parts,Párpado inferior.
7498,"Having a heavy tongue, describing a person who articulates words differently from most people.",rwaalote,,,,,,,,,,,character attributes,"De lengua pesada, en referencia a una persona que no articula las palabras como la mayoría de la gente."
7499,Beetle mandible.,rwaamani7chuga,,,,,,,,,,,animals,Mandíbula de escarabajo.
7500,Mute (lit. just the mouth is there).,rwaanuusi,,,,,,,,,,,wellness,Muda o mudo (lit. solo está la boca).
7501,Labia of the vulva.,rwaande,,,,,,,,,,,body parts,Labios de la vulva.
7502,Stutterer.,rwaapaapa,,,,,,,,,,,wellness,Tartamudo.
7503,Waistband of a pair of pants.,rwaapantalon,,,,,pantalón,,,,,,clothing and adornment,Cintura del pantalón.
7504,Without mustache (lit. hairless mouth).,rwaapiiru,,,,,,,,,,,physical attributes,Sin bigote (lit. boca pelona).
7505,Bearded.,rwaarazhi,,,,,,,,,,,physical attributes,Barbudo.
7506,Smiley.,rwaarinayeche7,,,,,,,,,,,states,Risueña o risueño.
7507,"Big mouth, or bigmouthed person.",rwaaroo,,,,,,,,,,,physical attributes,"Boca grande, o persona que la tiene."
7508,Someone who roars with laughter.,rwaasa,,,,,,,,,,,physical attributes,Persona que ríe a carcajada tendida.
7509,"Thin, sunken lips, or person who has them.",rwaataaba,,,,,,,,,,,shape,"Labios sumidos, o persona que así los tiene."
7510,"Mouth with wrinkles above or on the sides, or person with one.",rwaateede,,,,,,,,,,,physical attributes,"Boca con arrugas arriba o en las comisuras, o persona cuya boca es así."
7511,Anus.,rwaaxkurrgi7,,,,,,,,,,,body parts,Ano.
7512,Smiley (lit. extended mouth).,rwaaxya,,,,,,,,,,,character attributes,Risueño (lit. boca extendida).
7513,"Mouth with weakened or rotten teeth, or person with one.",rwaayaabi,,,,,,,,,,,wellness,"Boca de dientes debilitados o podridos, o la persona que la tiene."
7514,Happy person who laughs a lot.,rwaayeche7,,,,,,,,,,,character attributes,Persona alegre que ríe todo el tiempo.
7515,"Open mouth, or person whose mouth is often open.",rwaayelle7,,,,,,,,,,,physical attributes,"Boca abierta, o persona cuya boca suele estar abierta."
7516,"Mouth with worn out or rotten teeth, or person with one. Also, toothless.",rwaayuzhe,,,,,,,,,,,physical attributes,"Boca con dientes desgastados o podridos, o persona que así la tiene. También chimuelo."
7517,"Crooked mouth, or person with one.",rwaazhubi,EJG;JLC;ND;RGL,,,,,,,,,,shape,"Boca chueca, o persona que así la tiene."
7518,"Protruding mouth, or person with one.",rwaazuumba,,,,,,,,,,,physical attributes,"Boca trompuda, o persona trompuda."
7519,"Wide-mouthed. By extension, rude or vulgar.",rwaalaga-2,,,,,,,,,,,physical attributes,"De boca ancha. Por extensión, grosero."
7520,"Wheel, ex. in a cart.",rweeda,,,,,rueda,,,,,,travel and transportation,"Rueda, ej. de carreta."
7521,Noise.,rwidu,,,,,ruido,,,,,,experience,Ruido.
7522,Sound of the movement of a buttock.,ryekezha7na,,,,,,,,,,,sound symbolism,Sonido del movimiento de una pompa.
7523,Sound of a rattlesnake.,ss,EJG,,,,,,,,,,sound symbolism,Sonido de una culebra de cascabel.
7524,Sound made towards a young woman one likes.,ssss,,,,,,,,,,,sound symbolism,Sonido que se le hace a una muchacha que se le gusta.
7525,Sound of a ball flying in the air.,szum,,,,,,,,,,,sound symbolism,Sonido de una pelota volando por el aire.
7526,"Someone's long, traditional skirt, their skirt.",ssuudi,,,,,,,,,,,clothing and adornment,"Enagua de una persona, su enagua."
7527,"A lot, in great number or quantity.",stalle,EJG;JLC;RGL,,,,,,,,,,measure and quantity,"Mucho, bastante, en gran número o cantidad."
7528,"Possessed form to designate a particular women's top garment of the type made from a single piece of fabric, folded, with a half-moon cut at the top for the head, and sewn on the sides.",staani,,,,,,,,,,,clothing and adornment,Su huipil.
7529,Fly maggot.,ste,,,,,,,,,,,insects,Larva de mosca.
7530,"Alone, by itself.",stubi,,,,,,,,,,,manner,"Solo, por sí solo."
7531,Sound of a harpoon piercing.,s3m7,EJG;JLC;RGL;RLC,,,,,,,,,,sound symbolism,Sonido de un arpón ensartándose.
7532,Sound of a person with a tic.,s3ss3ss3s,,,,,,,,,,,sound symbolism,Sonido de una persona con un tic.
7533,Sound of a heart that is in love.,s3ss3ss3s-2,,,,,,,,,,,sound symbolism,Sonido de un corazón enamorado.
7534,"Sound of a rat passing nearby quickly and only perceived out of the corner of one's eye. Also, sound of soft wind.",s,,,,,,,,,,,sound symbolism,"Sonido de una rata que pasa cerca de uno rápidamente y que solo se ve de reojo. También, sonido de viento suave."
7535,Sound of a drop of sweat falling.,s-2,,,,,,,,,,,sound symbolism,Sonido de una gota de sudor que cae.
7536,Sound that a person who burnt themselves makes.,s6h,,,,,,,,,,,sound symbolism,Sonido que hace una persona que se quemó.
7537,I'm gonna hit you!,szaginye7lii,RGL;RLC,,,,,,,,,,speech acts,¡Te voy a pegar!
7538,Sound of a person scratching an itch.,sssah,,,,,,,,,,,sound symbolism,Sonido de una persona rascando una comezón.
7539,Sound of a person who ate something tasty.,seh,,,,,,,,,,,sound symbolism,Sonido de una persona que comió algo rico.
7540,Sound of a person who ate a spicy chili.,spsp,,,,,,,,,,,sound symbolism,Sonido que hace una persona que comió un chile picante.
7541,Sound of bees flooding out of the hive.,sum,,,,,,,,,,,sound symbolism,Sonido de abejas saliendo del panal a montones.
7542,Sound of a machete in the air.,sumsum,,,,,,,,,,,sound symbolism,Sonido de un machete en el aire.
7543,Sound of the wings of a butterfly.,sikisikisiki,,,,,,,,,,,sound symbolism,Sonido de las alas de una mariposa.
7544,Face up.,sa1,,,,,,,,,,,position,Boca arriba.
7545,Particle that precedes a statement that sets two people as equals in terms of a given characteristic.,sa2,,,,,,,,,,,communication,"Partícula que antecede un enunciado a manera de poner como iguales a dos personas. Un tanto similar a los prefijos co-, con-, y com- del castellano."
7546,Sound of the movement of a dog's tail.,sasasassas,EJG;RGL;RLC,,,,,,,,,,sound symbolism,Sonido del movimiento de la cola de un perro.
7547,Round like a plate.,sa7mpa,,,,,,,,,,,shape,Redondo como plato.
7548,Sound of the movement of a very large person's buttock when they walk.,saasaa,,,,,,,,,,,sound symbolism,Sonido del movimiento de la nalga de una persona muy gorda cuando camina.
7549,Irrigation canal known in Spanish as zanja mayor (main water ditch or canal).,sanjamayorckph,,,,,,,,,,,toponym,Canal de riego conocido como la zanja mayor.
7550,Sound of ants flooding out of their nest.,sas,,,,,,,,,,,sound symbolism,Sonido de hormigas saliendo del nido a montones.
7551,Sound of a man's gait.,sasssasssasssass,,,,,,,,,,,sound symbolism,Sonido del paso de un hombre.
7552,Saturday.,sabadu,RLC,,,,sábado,,,,,,time,Sábado.
7553,Burlap sack.,saku,,,,,saco,,,,,,tools and implements,"Saco, costal."
7554,Water ditch.,sanja,EJG;RLC,,,,zanja,,,,,,location,Zanja de agua.
7555,Water canal.,sanjaro7,,,,,zanja,,,,,,location,Canal de agua.
7556,Butt crack.,sanjaxkurrgi7,RLC,,,,zanja,,,,,,body parts,Raya entre las nalgas.
7557,Orphaned.,sapi,,,,,,,,,,,social categories,Huérfano.
7558,Flavor.,sabor,,,,,sabor,,,,,,experience,Sabor.
7559,Mumps.,samboko,VC,,,,,,,,,,wellness,Paperas.
