ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4272,"Isn't that right?, isn't that true?, exclamation to request validation or confirmation by the interlocutor.",dxa7-2,,,,,,,,,,,speech acts,"¿Verdad?, ¿no es así?, exclamación para solicitar la validación o confirmación del interlocutor."
4273,Unpleasant smell such as the smell of armpits or of goats.,dxa-3,,,,,,,,,,,experience,"Olor feo, como de axila o de chivo."
4274,"Full. By extension, pregnant.",dxa7-3,,,,,,,,,,,states,"Lleno. Por extensión, embarazada."
4275,"Swollen, inflamed.",dxa7gi,,,,,,,,,,,wellness,"Hinchado, inflamado."
4276,"This phrase refers to the presence of intestinal parasites. It is considered to arise among children from eating dirt and walking on the floor, and among adults from drinking beer. Symptoms include an inflammation of the belly that even makes it shine, as well as itching of the nose and anus. There are several methods used to relieve this condition at home in combination with medical care.",dxa7ka7bebiduuyu,,,,,,,,,,,animals,"Esta frase se refiere a la presencia de parásitos intestinales. Se considera que entre los niños surge por comer tierra y andar en el piso, y entre los adultos por beber cerveza. Los síntomas incluyen una inflamación de la panza que incluso la hace brillar, así como comezón en la nariz y el ano. Existen varios métodos que se usan para aliviar este mal en casa en combinación con atención médica."
4277,"Full of air. This refers to a condition that affects infants. It is attributed to taking in air when drinking from a baby bottle. To alleviate it, babies are lightly tapped on their backs.",dxa7bi,JLC;RLC,,,,,,,,,,wellness,Lleno de aire. Esto se refiere al mal que afecta a los bebés. Se atribuye al hecho de tomar aire al beber del biberón. Para aliviarlo se le dan golpecitos en la espalda a los bebés.
4278,"Bulgy, puffy, distended.",dxa7bumbu,,,,,,,,,,,manner,Abombado.
4279,Gingivitis.,dxa7gigidilaya,,,,,,,,,,,wellness,"Gingivitis, inflamación de las encías."
4280,"Intestinal inflammation, intestinal fever. This ailment is associated with heat. It is attributed to lying or sitting on a hot surface and then drinking something cold. Symptoms include tiredness, pain, vomiting, constipation and/or fever. There are several methods used to alleviate this condition at home in combination with medical care.",dxa7giintestinu,,,,,intestino,,,,,,wellness,"Inflamación intestinal, fiebre intestinal. Este mal se asocia al calor. Se atribuye a acostarse o sentarse sobre una superficie caliente y luego beber algo frío. Los síntomas incluyen cansancio, dolor, vómitos, estreñimiento y/o fiebre. Existen varios métodos que se usan para aliviar este mal en casa en combinación con atención médica."
4281,Inflammation of the kidneys. This disease is associated with heat. It is considered to arise from not drinking enough water or from physical exertion and bathing with a hot body. There are several methods used to alleviate this condition at home in combination with medical care.,dxa7girinyon,JLC,,,,riñon,,,,,,wellness,Inflamación de los riñones. Este mal se asocia con el calor. Se considera que surge por no beber suficiente agua o por realizar un esfuerzo físico y bañarse con el cuerpo caliente. Existen varios métodos que se usan para aliviar este mal en casa en combinación con atención médica.
4282,"Inflammation of the tonsils. This ailment is associated with heat. It is thought to arise from getting wet, getting cold, or walking barefoot. Symptoms include fever, body aches, sore throat, and difficulty swallowing. There are several methods used to alleviate this condition at home in combination with medical care.",dxa7giyannibe,,,,,,,,,,,wellness,"Inflamación de las anginas. Este mal se asocia con el calor. Se considera que surge por mojarse, por enfriarse, o por andar descalzo. Los síntomas incluyen fiebre, dolor de cuerpo, ardor de garganta, y dificultad para tragar. Existen varios métodos que se usan para aliviar este mal en casa en combinación con atención médica."
4283,Indigestion.,dxa7la7dxido7,EJG;RLC,,,,,,,,,,wellness,Indigestión.
4284,"Replete, overflowing, completely full.",dxa7tipa,,,,,,,,,,,states,"Repleto, colmado, rebosante."
4285,"Too much, abundant.",dxa7waawa,,,,,,,,,,,manner,"Demasiado, en abundancia."
4286,True.,dxa7ndi7,,,,,,,,,,,states,"Verdadero, cierto."
4287,Distal demonstrative referring to someone or something. Equivalent to 'that'.,dxa7nge,RGL;RLC,,,,,,,,,,location,"Demostrativo que apunta hacia algo o alguien que está lejos. Equivalente a 'aquel', 'aquella', y 'aquello'."
4288,Exclamation of surprise.,dxadxo7,RGL;RLC,,,,,,,,,,speech acts,Exclamación de asombro.
4289,Sound of splashing.,dxaadxaa,,,,,,,,,,,sound symbolism,Sonido de chapoteo.
4290,"Warm or hot, depending on the temperature that is optimal.",dxaa-3,,,,,,,,,,,phenomena,"Tibio o caliente, según la temperatura ideal que se busca."
4291,"With company, together. This can refer to neighbors.",dxaaga-2,,,,,,,,,,,manner,"Acompañado, unido, junto. Se puede usar para referirse a los vecinos y a sus casas."
4292,"Maiden, young woman, especially one who is a virgin.",dxaapa,,,,,,,,,,,social categories,"Muchacha, mujer joven, mujer virgen."
4293,Girl.,dxaapawiini,EJG;JLC;RGL;RLC,,,,,,,,,,social categories,Niña.
4294,"Dirty, impure. By extension, bad.",dxaba7-2,,,,,,,,,,,manner,"Sucio, impuro. Por extensión, malo."
4295,Mister.,dxana7,,,,,,,,,,,social categories,Don (tratamiento de respeto hacia un hombre adulto).
4296,"Young man!, call directed to a young man as to not use his name.",dxe-2,,,,,,,,,,,speech acts,"¡Muchacho!, ¡joven!, dicho a manera de llamar a un hombre joven sin usar su nombre."
4297,Wet.,dxe7-2,,,,,,,,,,,states,Mojado.
4298,"Sound of something very wet, such as a wet shoe. By extension, this sound symbolic expression is used to refer to someone who is very drunk.",dxe7dxe7,,,,,,,,,,,sound symbolism,"Sonido de algo que está muy mojado como por ejemplo un zapato mojado. Por extensión, se usa para expresar que alguien está muy borracho."
4299,Adjective describing a broken container whose condition can only be determined by the sound it makes when struck with the fingers.,dxeechedxeeche,,,,,,,,,,,manner,Adjetivo que describe un recipiente roto cuyo estado solo se puede determinar por el sonido que produce al ser golpeado con los dedos.
4300,Day.,dxi-2,,,,,,,,,,,time,Día.
4301,"At the same time, simultaneously.",dxikeka,,,,,,,,,,,time,"Al mismo tiempo, simultáneamente."
4302,Ash Wednesday. The day the 1982 eruption of the Chichonal Volcano (lit. day ashes fell).,dxibyabade,RGL;RLC,,,,,,,,,,cultural practices,Miércoles de Ceniza. El día de la erupción del Volcán el Chichonal en 1982 (lit. día en que cayeron las cenizas).
4303,Day / date of birth.,dxigulle,RGL;RLC,,,,,,,,,,time,Día / fecha de nacimiento.
4304,Holiday.,dxilani,,,,,,,,,,,cultural practices,Día festivo.
4305,Palm Sunday.,dxirakarapanteon,JLC,,,,panteón,,,,,,cultural practices,Domingo de ramos.
4306,Core days of Easter.,dxiro7,JLC,,,,,,,,,,cultural practices,Días importantes de la Semana Santa.
4307,"Birthday, celebration associated with the saint after whom someone is named.",dxixpido7,,,,,,,,,,,cultural practices,"Cumpleaños, santo."
4308,Sound of splashing.,dxigomdxigomdxigom,,,,,,,,,,,sound symbolism,Sonido de chapoteo.
4309,"Covered, topped up.",dxi7,,,,,,,,,,,manner,"Tapado, cubierto, rellenado."
4310,Mentally deranged (lit. air up top).,dxi7babi,,,,,,,,,,,wellness,Mentalmente trastornado (lit. aire subido).
4311,"Mischievous, hyperactive, someone who is a challenge to manage.",dxi7nya,RLC,,,,,,,,,,character attributes,"Travieso, inquieto, que da guerra."
4312,Sound of something hanging moving.,dxigidxigidxigi,,,,,,,,,,,sound symbolism,Sonido de algo colgado que se mueve.
4313,Sound of something creaking.,dxiigidxiigidxiigi,,,,,,,,,,,sound symbolism,Sonido de algo rechinando.
4314,"Quiet, calm, serene.",dxi-3,,,,,,,,,,,manner,"Quieto, tranquilo, calmado, silencioso, sereno."
4315,"Wooden frame, plank or piece, depending on its function. In embroidery, this lexeme refers to the frame that stretches the fabric to be embroidered. In terms of fishing nets, it is the plank used to guide the weave. This lexeme also refers to a flat piece of wood on which a top is made to spin.",dxiba,,,,,,,,,,,construction,"Tabla, marco o bastidor, según la función del objeto. Con relación al bordado, este lexema se refiere al bastidor. Con relación al tejido de redes de pescar se refiere a la tabla que se usa en su elaboración. También se refiere a la tabla que se usa para hacer bailar un trompo o sonador de morro."
4316,"Before, long ago, then, back then, in the past.",dxike,,,,,,,,,,,time,"Antes, anteriormente, en aquel entonces, entonces, en una época anterior."
4317,Adjective used to describe a person with compassion or pity. Similar to 'poor' as in 'poor him'.,dxiba7,JLC;RLC,,,,,,,,,,communication,Adjetivo que describe a una persona con compasión o lástima. Similar a 'pobre' como cuando se dice 'pobre de él'.
4318,Sound of plates being washed.,dxirindxirin,,,,,,,,,,,sound symbolism,Sonido de platos que se lavan.
4319,Sound of something creaking.,dxi7dxi7,RLC,,,,,,,,,,sound symbolism,Sonido de algo rechinando.
4320,"Constantly, always, all the time (lit. day night).",dxigeela,,,,,,,,,,,manner,"Constantemente, siempre, todo el tiempo (lit. día noche)."
4321,Clearly.,dxichi,,,,,,,,,,,manner,Claramente.
4322,"Little by little, slowly, quietly.",dxidxi,EJG,,,,,,,,,,manner,"Poco a poquito, despacito, quedito."
4323,Sound of someone walking with a very full basket.,dxigidxigidxigi-2,EJG,,,,,,,,,,sound symbolism,Sonido de alguien caminando con un canasto muy lleno.
4324,Sound of horse testicles when they run.,dxigupdxigupdxigup,,,,,,,,,,,sound symbolism,Sonido de los testículos de caballos cuando corren.
4325,Easily scared or frightened.,dxiibi1,,,,,,,,,,,character attributes,"Miedoso, asustado, temeroso, espantado."
4326,"Fright (including the illness that is considered to be caused by fright), fear, dread.",dxiibi2,,,,,,,,,,,experience,"Susto, espanto (incluyendo la enfermedad provocada por el espanto), miedo, temor."
4327,Illness resulting from fright caused by an experience associated with driving.,dxiibixtikarru,,,,,carro,,,,,,wellness,Enfermedad de espanto causado por una experiencia al ir en un vehículo.
4328,Illness resulting from fright caused by a dog.,dxiibibi7ku,,,,,,,,,,,wellness,Enfermedad de espanto causado por un perro.
4329,Fear that happens when dreaming that one falls down.,dxiibilubakaanda,,,,,,,,,,,cognition,Espanto por soñar que uno se cae.
4330,Illness resulting from fright caused by an experience associated with water.,dxiibinisa,RGL,,,,,,,,,,wellness,Enfermedad de espanto causado por una experiencia que involucra el agua.
4331,Illness resulting from fright caused by falling from a tree.,dxiibiyaga,,,,,,,,,,,wellness,Enfermedad de espanto causado por caerse de un árbol.
